17:05:08 INFO  : Domain reconfigured successfully
17:05:08 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
17:05:08 INFO  : lopper command to build BSP :empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
17:05:08 INFO  : cmd.exe, /C, empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
17:05:09 INFO  : Domain build successfully
17:05:10 INFO  : Domain build successfully
17:05:10 INFO  : Domain build successfully
17:05:10 INFO  : Generating Boot ELFs
17:05:10 INFO  : lopper command to retarget baremetal application :empyro.bat retarget_app -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp -b C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
17:05:10 INFO  : cmd.exe, /C, empyro.bat retarget_app -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp -b C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
17:05:10 INFO  : [INFO]: Retargeting app
17:05:10 INFO  : [INFO]: Updating link libraries based on new domain
17:05:10 INFO  : Successfully retargeted Application C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl
17:05:10 INFO  : lopper command to build baremetal application :empyro.bat build_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl --build_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
17:05:10 INFO  : cmd.exe, /C, empyro.bat build_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl --build_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
17:05:16 INFO  : Successfully building the baremetal applicationC:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
17:05:16 INFO  : lopper command to retarget baremetal application :empyro.bat retarget_app -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp -b C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\build
